Time,CH A,CH B,
0.E+0,-1.16362E+0,-1.1713E-1,
1.0005E-5,-9.2362E-1,-3.713E-2,
2.001E-5,-1.16362E+0,-1.5713E-1,
3.0015E-5,-1.00362E+0,-3.713E-2,
4.002E-5,-1.16362E+0,-1.1713E-1,
5.0025E-5,-1.00362E+0,2.87E-3,
6.003E-5,-1.16362E+0,-1.5713E-1,
7.0035E-5,-1.00362E+0,-3.713E-2,
8.004E-5,-1.16362E+0,-1.1713E-1,
9.0045E-5,-1.00362E+0,2.87E-3,
1.0005E-4,-1.16362E+0,-1.1713E-1,
1.10055E-4,-9.2362E-1,2.87E-3,
1.2006E-4,-1.16362E+0,-1.1713E-1,
1.30065E-4,-1.00362E+0,-3.713E-2,
1.4007E-4,-1.16362E+0,-1.1713E-1,
1.50075E-4,-1.00362E+0,2.87E-3,
1.6008E-4,-1.16362E+0,-1.1713E-1,
1.70085E-4,-9.2362E-1,2.87E-3,
1.8009E-4,-1.16362E+0,-1.5713E-1,
1.90095E-4,-1.00362E+0,2.87E-3,
2.001E-4,-1.16362E+0,-1.1713E-1,
2.10105E-4,-9.2362E-1,2.87E-3,
2.2011E-4,-1.16362E+0,-1.1713E-1,
2.30115E-4,-9.2362E-1,2.87E-3,
2.4012E-4,-1.16362E+0,-1.1713E-1,
2.50125E-4,-1.00362E+0,2.87E-3,
2.6013E-4,-1.16362E+0,-1.5713E-1,
2.70135E-4,-1.00362E+0,2.87E-3,
2.8014E-4,-1.16362E+0,-1.1713E-1,
2.90145E-4,-9.2362E-1,2.87E-3,
3.0015E-4,-1.16362E+0,-1.1713E-1,
3.10155E-4,-9.2362E-1,2.87E-3,
3.2016E-4,-1.16362E+0,-1.1713E-1,
3.30165E-4,-1.00362E+0,2.87E-3,
3.4017E-4,-1.16362E+0,-1.1713E-1,
3.50175E-4,-9.2362E-1,2.87E-3,
3.6018E-4,-1.16362E+0,-1.5713E-1,
3.70185E-4,-1.00362E+0,2.87E-3,
3.8019E-4,-1.24362E+0,-1.1713E-1,
3.90195E-4,-1.00362E+0,2.87E-3,
4.002E-4,-1.16362E+0,-1.1713E-1,
4.10205E-4,-9.2362E-1,2.87E-3,
4.2021E-4,-1.16362E+0,-1.1713E-1,
4.30215E-4,-1.00362E+0,2.87E-3,
4.4022E-4,-1.16362E+0,-1.1713E-1,
4.50225E-4,-9.2362E-1,2.87E-3,
4.6023E-4,-1.16362E+0,-1.1713E-1,
4.70235E-4,-1.00362E+0,2.87E-3,
4.8024E-4,-1.16362E+0,-1.1713E-1,
4.90245E-4,-9.2362E-1,2.87E-3,
5.0025E-4,-1.16362E+0,-1.1713E-1,
5.10255E-4,-9.2362E-1,2.87E-3,
5.2026E-4,-1.16362E+0,-1.1713E-1,
5.30265E-4,-9.2362E-1,2.87E-3,
5.4027E-4,-1.16362E+0,-1.1713E-1,
5.50275E-4,-9.2362E-1,2.87E-3,
5.6028E-4,-1.16362E+0,-1.1713E-1,
5.70285E-4,-9.2362E-1,2.87E-3,
5.8029E-4,-1.16362E+0,-1.1713E-1,
5.90295E-4,-9.2362E-1,2.87E-3,
6.003E-4,-1.16362E+0,-1.1713E-1,
6.10305E-4,-9.2362E-1,2.87E-3,
6.2031E-4,-1.16362E+0,-1.1713E-1,
6.30315E-4,-1.00362E+0,2.87E-3,
6.4032E-4,-1.16362E+0,-1.1713E-1,
6.50325E-4,-9.2362E-1,2.87E-3,
6.6033E-4,-1.16362E+0,-1.1713E-1,
6.70335E-4,-9.2362E-1,2.87E-3,
6.8034E-4,-1.16362E+0,-1.1713E-1,
6.90345E-4,-9.2362E-1,2.87E-3,
7.0035E-4,-1.16362E+0,-1.5713E-1,
7.10355E-4,-9.2362E-1,2.87E-3,
7.2036E-4,-1.16362E+0,-1.1713E-1,
7.30365E-4,-9.2362E-1,2.87E-3,
7.4037E-4,-1.16362E+0,-1.1713E-1,
7.50375E-4,-1.00362E+0,-3.713E-2,
7.6038E-4,-1.16362E+0,-1.1713E-1,
7.70385E-4,-9.2362E-1,2.87E-3,
7.8039E-4,-1.16362E+0,-1.1713E-1,
7.90395E-4,-9.2362E-1,2.87E-3,
8.004E-4,-1.16362E+0,-1.1713E-1,
8.10405E-4,-1.00362E+0,2.87E-3,
8.2041E-4,-1.16362E+0,-1.1713E-1,
8.30415E-4,-9.2362E-1,2.87E-3,
8.4042E-4,-1.16362E+0,-1.5713E-1,
8.50425E-4,-9.2362E-1,2.87E-3,
8.6043E-4,-1.16362E+0,-1.1713E-1,
8.70435E-4,-9.2362E-1,2.87E-3,
8.8044E-4,-1.16362E+0,-1.1713E-1,
8.90445E-4,-9.2362E-1,2.87E-3,
9.0045E-4,-1.16362E+0,-1.1713E-1,
9.10455E-4,-9.2362E-1,2.87E-3,
9.2046E-4,-1.16362E+0,-1.1713E-1,
9.30465E-4,-1.00362E+0,2.87E-3,
9.4047E-4,-1.16362E+0,-1.1713E-1,
9.50475E-4,-9.2362E-1,2.87E-3,
9.6048E-4,-1.16362E+0,-1.1713E-1,
9.70485E-4,-9.2362E-1,2.87E-3,
9.8049E-4,-1.16362E+0,-1.1713E-1,
9.90495E-4,-9.2362E-1,2.87E-3,
1.0005E-3,-1.16362E+0,-1.1713E-1,
1.01051E-3,-9.2362E-1,2.87E-3,
1.02051E-3,-1.16362E+0,-1.1713E-1,
1.03052E-3,-1.00362E+0,2.87E-3,
1.04052E-3,-1.16362E+0,-1.1713E-1,
1.05053E-3,-9.2362E-1,2.87E-3,
1.06053E-3,-1.16362E+0,-1.1713E-1,
1.07054E-3,-9.2362E-1,2.87E-3,
1.08054E-3,-1.16362E+0,-1.1713E-1,
1.09055E-3,-9.2362E-1,2.87E-3,
1.10055E-3,-1.16362E+0,-1.1713E-1,
1.11056E-3,-9.2362E-1,2.87E-3,
1.12056E-3,-1.16362E+0,-1.1713E-1,
1.13057E-3,-9.2362E-1,2.87E-3,
1.14057E-3,-1.16362E+0,-1.1713E-1,
1.15058E-3,-9.2362E-1,2.87E-3,
1.16058E-3,-1.16362E+0,-1.5713E-1,
1.17059E-3,-9.2362E-1,2.87E-3,
1.18059E-3,-1.16362E+0,-1.1713E-1,
1.1906E-3,-9.2362E-1,2.87E-3,
1.2006E-3,-1.16362E+0,-1.1713E-1,
1.21061E-3,-9.2362E-1,2.87E-3,
1.22061E-3,-1.16362E+0,-1.1713E-1,
1.23062E-3,-9.2362E-1,2.87E-3,
1.24062E-3,-1.16362E+0,-1.1713E-1,
1.25063E-3,-9.2362E-1,2.87E-3,
1.26063E-3,-1.16362E+0,-1.5713E-1,
1.27064E-3,-9.2362E-1,2.87E-3,
1.28064E-3,-1.16362E+0,-1.1713E-1,
1.29065E-3,-9.2362E-1,2.87E-3,
1.30065E-3,-1.16362E+0,-1.1713E-1,
1.31066E-3,-9.2362E-1,2.87E-3,
1.32066E-3,-1.16362E+0,-1.1713E-1,
1.33067E-3,-9.2362E-1,2.87E-3,
1.34067E-3,-1.16362E+0,-1.1713E-1,
1.35068E-3,-9.2362E-1,2.87E-3,
1.36068E-3,-1.16362E+0,-1.5713E-1,
1.37069E-3,-9.2362E-1,2.87E-3,
1.38069E-3,-1.16362E+0,-1.1713E-1,
1.3907E-3,-9.2362E-1,2.87E-3,
1.4007E-3,-1.16362E+0,-1.1713E-1,
1.41071E-3,-9.2362E-1,2.87E-3,
1.42071E-3,-1.16362E+0,-1.1713E-1,
1.43072E-3,-9.2362E-1,2.87E-3,
1.44072E-3,-1.16362E+0,-1.1713E-1,
1.45073E-3,-9.2362E-1,2.87E-3,
1.46073E-3,-1.16362E+0,-1.1713E-1,
1.47074E-3,-9.2362E-1,2.87E-3,
1.48074E-3,-1.16362E+0,-1.5713E-1,
1.49075E-3,-9.2362E-1,2.87E-3,
1.50075E-3,-1.16362E+0,-1.1713E-1,
1.51076E-3,-1.00362E+0,2.87E-3,
1.52076E-3,-1.16362E+0,-1.1713E-1,
1.53077E-3,-9.2362E-1,2.87E-3,
1.54077E-3,-1.24362E+0,-1.1713E-1,
1.55078E-3,-9.2362E-1,2.87E-3,
1.56078E-3,-1.16362E+0,-1.1713E-1,
1.57079E-3,-9.2362E-1,2.87E-3,
1.58079E-3,-1.16362E+0,-1.1713E-1,
1.5908E-3,-9.2362E-1,2.87E-3,
1.6008E-3,-1.16362E+0,-1.1713E-1,
1.61081E-3,-9.2362E-1,2.87E-3,
