Vernier Format 2
B.cmbl 26.09.2019 12:47:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-80,592004094	0,228327	0,218559	-1629,53008136	-0,760341901122
0,5	-80,657207116	0,211233	0,202686	-1629,83628882	-0,760199050974
1	-80,592004094	0,250305	0,216117	-1629,53008136	-0,760341901122
1,5	-80,657207116	0,240537	0,221001	-1629,83628882	-0,760199050974
2	-80,592004094	0,249084	0,21978	-1629,53008136	-0,760341901122
2,5	-80,657207116	0,249084	0,216117	-1629,83628882	-0,760199050974
3	-80,592004094	0,251526	0,197802	-1629,53008136	-0,760341901122
3,5	-80,657207116	0,291819	0,206349	-1629,83628882	-0,760199050974
4	-80,592004094	0,278388	0,217338	-1629,53008136	-0,760341901122
4,5	-81,179365743	0,294261	0,222222	-1632,21229182	-0,759092433139
5	-81,440177831	0,289377	0,234432	-1633,3483234	-0,758564466774
5,5	-81,70152437	0,30525	0,216117	-1634,45273429	-0,758051899578
6	-81,70152437	0,302808	0,216117	-1634,45273429	-0,758051899578
6,5	-81,70152437	0,304029	0,247863	-1634,45273429	-0,758051899578
7	-81,70152437	0,271062	0,221001	-1634,45273429	-0,758051899578
7,5	-81,440177831	0,302808	0,216117	-1633,3483234	-0,758564466774
8	-81,114162721	0,288156	0,222222	-1631,92299847	-0,759226998556
8,5	-80,918553655	0,258852	0,222222	-1631,04243927	-0,759636886305
9	-80,592004094	0,222222	0,213675	-1629,53008136	-0,760341901122
9,5	-80,135048489	0,239316	0,199023	-1627,3249226	-0,76137222677
10	-79,809033379	0,251526	0,205128	-1625,68837559	-0,762138684511
10,5	-79,482483818	0,206349	0,191697	-1623,99638226	-0,762932734047
11	-79,026062664	0,214896	0,180708	-1621,54308762	-0,764087004201
11,5	-78,764716125	0,203907	0,203907	-1620,09199314	-0,764771386592
12	-78,177354476	0,185592	0,178266	-1616,70778047	-0,766372262797
12,5	-77,98174541	0,196581	0,199023	-1615,54300533	-0,766924802321
13	-77,329180739	0,181929	0,196581	-1611,52112529	-0,768838819768
13,5	-77,133571673	0,189255	0,203907	-1610,27480296	-0,769433886518
14	-76,872225134	0,186813	0,199023	-1608,58034745	-0,770244397157
14,5	-76,350600958	0,151404	0,189255	-1605,09834023	-0,771915320668
15	-76,089254419	0,157509	0,17094	-1603,30372567	-0,772779343155
15,5	-75,763239309	0,174603	0,169719	-1601,01828839	-0,773882477787
16	-75,241080682	0,184371	0,177045	-1597,2498778	-0,775708307898
16,5	-75,045471616	0,17094	0,178266	-1595,80399707	-0,776411139637
17	-74,458109967	0,192918	0,189255	-1591,35069541	-0,778583880707
17,5	-74,26196645	0,199023	0,172161	-1589,82628848	-0,77933042684
18	-73,93595134	0,196581	0,166056	-1587,25132131	-0,780594719539
18,5	-73,478995735	0,214896	0,162393	-1583,55567057	-0,782416446118
19	-73,152980625	0,188034	0,178266	-1580,85742777	-0,783751892004
19,5	-72,630821998	0,210012	0,172161	-1576,42921712	-0,785953461496
20	-72,369475459	0,23199	0,172161	-1574,16365729	-0,787084617449
20,5	-72,108663371	0,225885	0,177045	-1571,8700789	-0,788233084037
21	-71,521301722	0,213675	0,18315	-1566,58563136	-0,790891972452
21,5	-71,325692656	0,240537	0,180708	-1564,78918029	-0,791799953378
22	-70,738331007	0,229548	0,179487	-1559,2853986	-0,794594755466
22,5	-70,542721941	0,255189	0,179487	-1557,41607183	-0,795548487275
23	-69,955360292	0,267399	0,184371	-1551,69398377	-0,798482183318
23,5	-69,759216775	0,296703	0,180708	-1549,74680001	-0,799485438518
