Vernier Format 2
Bandlücke-Si.cmbl 26.09.2019 12:56:17 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-82,5279637663	0,332112	0,246642	-1637,72124212	-0,756539005622
0,5	-82,2671516783	0,307692	0,260073	-1636,72651569	-0,756998794924
1	-81,6797900293	0,297924	0,245421	-1634,36218439	-0,758093898547
1,5	-81,4836465123	0,296703	0,2442	-1633,53437219	-0,758478071288
2	-80,8962848633	0,261294	0,238095	-1630,94098796	-0,75968413888
2,5	-80,6354727753	0,247863	0,216117	-1629,73445417	-0,760246552331
3	-80,3094576653	0,267399	0,197802	-1628,1788014	-0,760972934259
3,5	-79,8525020603	0,23199	0,203907	-1625,90962411	-0,762034975147
4	-79,5259524993	0,253968	0,216117	-1624,22465701	-0,762825508559
4,5	-79,0695313453	0,224664	0,192918	-1621,78117053	-0,763974833669
5	-78,7429817843	0,197802	0,18315	-1619,9697973	-0,764829074015
5,5	-78,2860261793	0,173382	0,19536	-1617,34673634	-0,766069496517
6	-77,9600110693	0,177045	0,191697	-1615,41242327	-0,76698679678
6,5	-77,6991989813	0,184371	0,191697	-1613,82731282	-0,767740135615
7	-77,1770403543	0,186813	0,194139	-1610,55338597	-0,769300794866
7,5	-76,9156938153	0,185592	0,185592	-1608,8645005	-0,770108358792
8	-76,3283321663	0,166056	0,192918	-1604,94672591	-0,771988241105
8,5	-76,1327231003	0,142857	0,169719	-1603,6045302	-0,772634385015
9	-75,6105644733	0,174603	0,178266	-1599,93017841	-0,774408794034
9,5	-75,3497523853	0,191697	0,192918	-1598,04510165	-0,775322297675
10	-75,0232028243	0,168498	0,184371	-1595,63821357	-0,776491807143
10,5	-74,5015786483	0,210012	0,185592	-1591,68600559	-0,778419861487
11	-74,2402321093	0,19536	0,188034	-1589,65622447	-0,779413800878
11,5	-73,7180734823	0,188034	0,188034	-1585,50180198	-0,78145606549
12	-73,4572613943	0,240537	0,189255	-1583,37738183	-0,782504546434
12,5	-73,1964493063	0,235653	0,174603	-1581,22015261	-0,783572102819
13	-72,6742906793	0,229548	0,18315	-1576,80285816	-0,785767221048
13,5	-72,4129441403	0,229548	0,169719	-1574,54275042	-0,786895115849
14	-71,8261169423	0,224664	0,167277	-1569,34861545	-0,78949953363
14,5	-71,6299734253	0,257631	0,167277	-1567,5757712	-0,790392415324
15	-71,0426117763	0,26862	0,163614	-1562,15710804	-0,793134053944
15,5	-70,7817996883	0,235653	0,185592	-1559,69833719	-0,794384382194
16	-70,2596410613	0,279609	0,18315	-1554,67868796	-0,796949240761
16,5	-69,9988289733	0,283272	0,163614	-1552,12305144	-0,798261451535
17	-69,4114673243	0,277167	0,168498	-1546,24994271	-0,801293481589
17,5	-69,2158582583	0,296703	0,173382	-1544,25792111	-0,802327113276
18	-68,8893086973	0,291819	0,175824	-1540,89234934	-0,804079532573
18,5	-68,4323530923	0,29304	0,175824	-1536,09875129	-0,806588768439
19	-68,1063379823	0,34188	0,177045	-1532,61901862	-0,80842008676
19,5	-67,6493823773	0,330891	0,179487	-1527,65819663	-0,811045299749
20	-67,3233672673	0,326007	0,192918	-1524,05948553	-0,812960394109
20,5	-67,1272237503	0,335775	0,177045	-1521,87057784	-0,814129675704
21	-66,5398621013	0,34188	0,19536	-1515,2092147	-0,817708860253
21,5	-66,2790500133	0,368742	0,181929	-1512,20020936	-0,819335953224
22	-65,6916883643	0,372405	0,180708	-1505,30913534	-0,823086747373
22,5	-65,4960792983	0,398046	0,191697	-1502,97905049	-0,824362787755
23	-65,1695297373	0,410256	0,174603	-1499,05019026	-0,826523359957
