Vernier Format 2
Bandlücke-Si2_Background.cmbl 26.09.2019 13:03:58 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	82,8973406675	0,00610501	0,128205	1639,07196179	0,755915560073
0,5	82,8973406675	0,00732601	0,120879	1639,07196179	0,755915560073
1	82,8973406675	0,00732601	0,1221	1639,07196179	0,755915560073
1,5	82,8973406675	0,00610501	0,123321	1639,07196179	0,755915560073
2	82,8973406675	0,00610501	0,117216	1639,07196179	0,755915560073
2,5	82,8973406675	0,00610501	0,119658	1639,07196179	0,755915560073
3	82,8973406675	0,00488401	0,118437	1639,07196179	0,755915560073
3,5	82,8973406675	0,00610501	0,118437	1639,07196179	0,755915560073
4	82,8973406675	0,00732601	0,125763	1639,07196179	0,755915560073
4,5	82,8973406675	0,00610501	0,118437	1639,07196179	0,755915560073
5	82,8973406675	0,00488401	0,125763	1639,07196179	0,755915560073
5,5	82,8973406675	0,00732601	0,130647	1639,07196179	0,755915560073
6	83,4193924043	0,00610501	0,133089	1640,86478551	0,755089639892
6,5	83,6804182727	0,00610501	0,128205	1641,71012246	0,754700834848
7	84,0067006082	0,00732601	0,130647	1642,71887572	0,754237391629
7,5	83,9414441411	0,00610501	0,130647	1642,52138585	0,754328077962
8	83,9414441411	0,00610501	0,1221	1642,52138585	0,754328077962
8,5	83,9414441411	0,00732601	0,130647	1642,52138585	0,754328077962
9	83,6804182727	0,00488401	0,126984	1641,71012246	0,754700834848
9,5	83,3541359372	0,00610501	0,136752	1640,64812931	0,75518935344
10	82,8973406675	0,00610501	0,123321	1639,07196179	0,755915560073
10,5	82,6363147991	0,00610501	0,118437	1638,12451225	0,756352762405
11	82,1142630623	0,00610501	0,1221	1636,12763608	0,757275882807
11,5	81,8532371939	0,00610501	0,125763	1635,07825092	0,757761898739
12	81,3311854571	0,00976801	0,133089	1632,8776953	0,758783100267
12,5	81,0049031216	0,00610501	0,131868	1631,43349677	0,759454799996
13	80,8091337203	0,00610501	0,114774	1630,54157941	0,759870226952
13,5	80,2218255164	0,00610501	0,108669	1627,75165404	0,761172625398
14	80,0260561151	0,00610501	0,113553	1626,78365735	0,761625551378
14,5	79,4387479112	0,00610501	0,113553	1623,7657608	0,76304109245
15	79,1777220428	0,00610501	0,125763	1622,36968999	0,763697699511
15,5	78,655670306	0,00732601	0,131868	1619,47656158	0,765062014105
16	78,3946444376	0,00610501	0,125763	1617,97956403	0,765769869746
16,5	78,1336185692	0,00732601	0,133089	1616,44898544	0,766494959729
17	77,6115668324	0,00610501	0,124542	1613,28721291	0,767997161375
17,5	77,350540964	0,00488401	0,118437	1611,6560846	0,768774437574
18	76,7632327601	0,00732601	0,128205	1607,86379777	0,770587659051
18,5	76,5022068917	0,00610501	0,133089	1606,124085	0,771422340012
19	75,9801551549	0,00610501	0,1221	1602,54469131	0,773145364816
19,5	75,7191292865	0,00610501	0,137973	1600,70508469	0,77403390034
20	75,1970775497	0,00610501	0,117216	1596,9262428	0,77586551388
20,5	74,9360516813	0,00610501	0,108669	1594,98708596	0,77680879733
21	74,5445128787	0,00610501	0,115995	1592,01629378	0,778258366351
21,5	74,1529740761	0,00488401	0,123321	1588,97115687	0,779749836644
22	73,8266917406	0,00610501	0,128205	1586,37685416	0,781025011021
22,5	73,3046400038	0,00610501	0,112332	1582,11899888	0,783126933483
23	73,0436141354	0,00732601	0,129426	1579,94079385	0,784206601172
23,5	72,5215623986	0,00610501	0,129426	1575,48605504	0,786423971217
24	72,3257929973	0,00610501	0,129426	1573,78178701	0,787275599593
