Vernier Format 2
Bandlücke-Ge1.cmbl 26.09.2019 16:04:25 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	82,0927959471	0,00610501	0,0561661	3274,04926572	0,378430469258
0,5	82,0927959471	0,00610501	0,03663	3274,04926572	0,378430469258
1	82,0927959471	0,00732601	0,0598291	3274,04926572	0,378430469258
1,5	82,0927959471	0,00610501	0,0598291	3274,04926572	0,378430469258
2	82,0927959471	0,00610501	0,0573871	3274,04926572	0,378430469258
2,5	82,0927959471	0,00610501	0,0549451	3274,04926572	0,378430469258
3	82,0927959471	0,00610501	0,0512821	3274,04926572	0,378430469258
3,5	82,0927959471	0,00610501	0,045177	3274,04926572	0,378430469258
4	82,0927959471	0,00610501	0,0525031	3274,04926572	0,378430469258
4,5	81,8317700787	0,00610501	0,0549451	3271,94364873	0,378674003289
5	81,5707442103	0,00732601	0,042735	3269,77012281	0,378925720605
5,5	80,9834360064	0,00610501	0,040293	3264,6316334	0,379522144956
6	80,722410138	0,00732601	0,0659341	3262,2377223	0,379800647736
6,5	80,2003584012	0,00610501	0,0525031	3257,24682873	0,380382594611
7	79,9393325328	0,00610501	0,0610501	3254,64994985	0,380686101145
7,5	79,417280796	0,00732601	0,0769231	3249,25359738	0,381318343696
8	79,1562549276	0,00610501	0,0634921	3246,45423579	0,381647147938
8,5	78,6342031908	0,00732601	0,0610501	3240,6534324	0,382330300306
9	78,112151454	0,00610501	0,0634921	3234,58359239	0,383047760124
9,5	77,8511255856	0,00610501	0,043956	3231,44794026	0,383419452489
10	77,3290738488	0,00610501	0,0586081	3224,97549711	0,3841889655
10,5	77,0680479804	0,00610501	0,046398	3221,63884044	0,384586870647
11	76,4807397765	0,00610501	0,0695971	3213,88699604	0,385514488072
11,5	76,2197139081	0,00732601	0,0720391	3210,33328897	0,385941236773
12	75,6976621713	0,00610501	0,0500611	3203,02605932	0,386821704555
12,5	75,4366363029	0,00610501	0,0769231	3199,27268841	0,387275521868
13	74,9145845661	0,00610501	0,0720391	3191,56682391	0,388210577551
13,5	74,6535586977	0,00610501	0,0647131	3187,61449025	0,388691921118
14	74,0662504938	0,00610501	0,0744811	3178,47997402	0,389808968478
14,5	73,8704810925	0,00610501	0,0598291	3175,36087215	0,390191871061
15	73,2831728886	0,00610501	0,0683761	3165,78128697	0,391372583159
15,5	73,0221470202	0,013431	0,0757021	3161,41686171	0,391912884064
16	72,5653517505	0,00610501	0,0683761	3153,62128676	0,392881670733
16,5	72,239069415	0,00610501	0,0793651	3147,93026531	0,39359194632
17	71,7170176782	0,00610501	0,0598291	3138,61237031	0,394760439907
17,5	71,4559918098	0,00610501	0,0769231	3133,85566165	0,395359625257
18	70,933940073	0,00610501	0,041514	3124,14721562	0,396588225358
18,5	70,6729142046	0,021978	0,0549451	3119,19567975	0,397217785355
19	70,1508624678	0,00610501	0,0573871	3109,09849615	0,398507799458
19,5	69,8245801323	0,00732601	0,0573871	3102,65662825	0,399335198332
20	69,3677848626	0,00610501	0,0659341	3093,46902288	0,400521224178
20,5	69,0415025271	0,00610501	0,047619	3086,78602967	0,401388365793
21	68,5194507903	0,00610501	0,0598291	3075,88511761	0,402810882925
21,5	68,2584249219	0,00610501	0,045177	3070,33884506	0,403538522139
22	67,7363731851	0,00610501	0,046398	3059,05524247	0,405027010562
22,5	67,4753473167	0,00610501	0,0500611	3053,31814662	0,405788044515
23	66,9532955799	0,00610501	0,0537241	3041,65396119	0,407344167288
23,5	66,6922697115	0,00610501	0,0647131	3035,72711369	0,408139451801
