Vernier Format 2
Bandlücke-Ge1.cmbl 26.09.2019 16:22:46 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-76,545675573	0,108669	0,042735	-3214,76069883	-0,385409713529
0,5	-76,350066507	0,106227	0,0549451	-3212,11629304	-0,385727005801
1	-75,762704858	0,105006	0,045177	-3203,95098458	-0,386710035816
1,5	-75,567095792	0,10989	0,03663	-3201,15691034	-0,387047568958
2	-75,240546231	0,0964591	0,035409	-3196,40936746	-0,387622440547
2,5	-74,784125077	0,118437	0,047619	-3189,59974131	-0,388449993882
3	-74,457575516	0,117216	0,03663	-3184,60351413	-0,389059421213
3,5	-73,935416889	0,114774	0,042735	-3176,39957434	-0,390064275921
4	-73,609401779	0,117216	0,025641	-3171,14353959	-0,39071079077
4,5	-73,413258262	0,119658	0,010989	-3167,93182423	-0,391106901519
5	-72,826431064	0,10989	0,029304	-3158,10138834	-0,392324326436
5,5	-72,565084525	0,117216	0,02442	-3153,61666763	-0,39288224619
6	-72,042925898	0,139194	0,030525	-3144,4599851	-0,394026321172
6,5	-71,847316832	0,133089	0,046398	-3140,96246022	-0,394465077406
7	-71,521301722	0,135531	0,039072	-3135,05191774	-0,395208766078
7,5	-70,999143095	0,148962	0,035409	-3125,37396822	-0,396432558982
8	-70,672593534	0,153846	0,047619	-3119,18955695	-0,397218565072
8,5	-70,21617238	0,148962	0,03663	-3110,37582079	-0,398344145978
9	-69,889622819	0,156288	0,045177	-3103,94881745	-0,399168953121
9,5	-69,694013753	0,184371	0,037851	-3100,05062631	-0,399670892302
10	-69,106652104	0,148962	0,014652	-3088,12844433	-0,401213881591
10,5	-68,845305565	0,144078	0,034188	-3082,7192685	-0,40191788226
11	-68,584493477	0,142857	0,020757	-3077,25721203	-0,402631276696
11,5	-68,06233485	0,157509	0,030525	-3066,13040351	-0,40409240213
12	-67,801522762	0,164835	0,013431	-3060,47727082	-0,404838817728
12,5	-67,540176223	0,178266	0,037851	-3054,74894289	-0,405597979789
13	-66,953349025	0,150183	0,026862	-3041,65516825	-0,407344005636
13,5	-66,757205508	0,185592	0,0549451	-3037,20743668	-0,407940526234
14	-66,169843859	0,192918	0,032967	-3023,67580403	-0,409766152294
14,5	-65,909031771	0,190476	0,02442	-3017,56525642	-0,41059592576
15	-65,648219683	0,178266	0,025641	-3011,39218203	-0,411437609288
15,5	-65,126061056	0,18315	0,019536	-2998,84599678	-0,413158928912
16	-64,864714517	0,203907	0,035409	-2992,47289096	-0,414038838494
16,5	-64,343090341	0,185592	0,018315	-2979,56673049	-0,415832270954
17	-64,081743802	0,179487	0,029304	-2973,00749722	-0,416749705864
17,5	-63,820931714	0,186813	0,026862	-2966,4000108	-0,417677992006
18	-63,233570065	0,202686	0,045177	-2951,29475401	-0,419815743012
18,5	-63,037960999	0,239316	0,032967	-2946,19532634	-0,420542381872
19	-62,711411438	0,221001	0,025641	-2937,60586372	-0,421772033922
19,5	-62,254455833	0,217338	0,017094	-2925,42611309	-0,423528044155
20	-61,928440723	0,192918	0,021978	-2916,62268557	-0,424806405754
20,5	-61,667094184	0,218559	0,010989	-2909,49730714	-0,425846759493
21	-61,080266986	0,21978	0,034188	-2893,2776522	-0,428234047658
21,5	-60,884123469	0,247863	0,040293	-2887,78856809	-0,429048031317
22	-60,623311381	0,240537	0,028083	-2880,43732313	-0,430143016843
22,5	-60,101152754	0,255189	0,029304	-2865,54056134	-0,432379152721
23	-59,840340666	0,247863	0,030525	-2858,0106007	-0,433518336041
23,5	-59,318182039	0,230769	0,028083	-2842,75744151	-0,435844431153
