Vernier Format 2
Bandlücke-Ge.cmbl 26.09.2019 16:33:27 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	28,7779951009	0,00610501	0,041514	1591,31318611	0,778602232933
0,5	26,3635058182	0,00610501	0,04884	1467,84530091	0,84409440098
1	24,275298871	0,00610501	0,0525031	1358,95240028	0,91173171315
1,5	22,1870919238	0,00732601	0,0708181	1248,25457957	0,992585983884
2	20,0336285095	0,00610501	0,0561661	1132,36265667	1,09417243028
2,5	17,8801650952	0,00610501	0,046398	1014,87130779	1,22084444647
3	15,6614452138	0,00610501	0,0610501	892,322095598	1,38851206993
3,5	13,3774688653	0,00610501	0,0525031	764,772877823	1,62008883412
4	11,224005451	0,00732601	0,0598291	643,395690901	1,9257200779
4,5	9,070702372	0,00610501	0,0659341	521,118862483	2,37757657456
5	6,656052754	0,00610501	0,030525	383,134278659	3,23385316588
5,5	4,502749675	0,00610501	0,0500611	259,502892991	4,77451324616
6	2,283709123	0,00610501	0,046398	131,715631236	9,4066284189
6,5	0	0,010989	0,0647131	0	 
7	-2,088100057	0,00732601	0,0720391	-120,438875856	-10,2873759921
7,5	-4,372343631	0,00610501	0,0586081	-252,002132466	-4,91662506136
8	-6,590849732	0,00610501	0,0561661	-379,397727992	-3,26570221323
8,5	-8,809890284	0,00610501	0,0586081	-506,255049515	-2,44738299635
9	-11,093599407	0,00610501	0,0647131	-636,014608993	-1,94806846019
9,5	-13,312639959	0,00610501	0,0695971	-761,133794476	-1,62783469738
10	-15,465943038	0,00610501	0,0647131	-881,456857428	-1,40562750129
10,5	-17,815389634	0,010989	0,0671551	-1011,31416292	-1,22513858248
11	-19,968692713	0,00610501	0,0512821	-1128,84236788	-1,09758460105
11,5	-22,383342331	0,00610501	0,03663	-1258,73088155	-0,98432478154
12	-24,471442388	0,00610501	0,0525031	-1369,25968625	-0,904868530374
12,5	-26,951295028	0,00610501	0,046398	-1498,15108498	-0,827019392386
13	-29,039395085	0,00610501	0,029304	-1604,51455216	-0,772196175056
13,5	-31,192698164	0,00610501	0,045177	-1711,96611264	-0,723729278783
14	-33,607347782	0,00610501	0,0659341	-1829,57619472	-0,677206012834
14,5	-35,760650861	0,00732601	0,0622711	-1931,72257947	-0,641396447486
15	-38,044894435	0,00610501	0,0573871	-2037,09529281	-0,608218969615
15,5	-40,263400536	0,00610501	0,040293	-2136,33805621	-0,579964391121
16	-42,416703615	0,00732601	0,0561661	-2229,60266851	-0,555704394106
16,5	-44,831353233	0,00610501	0,0598291	-2330,43542524	-0,531660301153
17	-46,91945329	0,00610501	0,0695971	-2414,30142548	-0,513191926626
17,5	-49,138493842	0,00732601	0,041514	-2499,90984667	-0,49561787264
18	-51,487405987	0,00610501	0,039072	-2586,44103275	-0,479036631539
18,5	-53,641243517	0,00732601	0,0549451	-2661,96936039	-0,465444876427
19	-55,990155662	0,00732601	0,0537241	-2740,04714211	-0,452182001163
19,5	-58,209196214	0,00610501	0,037851	-2809,58042829	-0,440991112952
20	-60,297296271	0,00610501	0,040293	-2871,16435236	-0,43153224544
20,5	-62,777148911	0,00610501	0,046398	-2939,3426828	-0,421522814352
21	-64,865248968	0,00610501	0,043956	-2992,48598748	-0,414037026468
21,5	-67,018552047	0,00610501	0,0769231	-3043,12581389	-0,407147149271
22	-69,367998643	0,00610501	0,0573871	-3093,47336871	-0,40052066151
22,5	-71,521301722	0,00732601	0,0573871	-3135,05191774	-0,395208766078
23	-73,609401779	0,00732601	0,0573871	-3171,14353959	-0,39071079077
23,5	-76,024051397	0,00610501	0,032967	-3207,62576784	-0,386267005466
24	-78,112151454	0,00732601	0,046398	-3234,58359239	-0,383047760124
24,5	-80,265454533	0,00610501	0,0647131	-3257,88392341	-0,380308208987
25	-82,614901129	0,00610501	0,0695971	-3278,05699582	-0,37796780275
25,5	-84,768204208	0,00610501	0,035409	-3291,70638306	-0,37640052174
26	-86,98724476	0,00732601	0,03663	-3300,90853207	-0,375351206483
26,5	-89,336156905	0,00610501	0,0634921	-3305,2553048	-0,374857578536
27	-91,424256962	0,00610501	0,0500611	-3304,4559621	-0,374948255995
27,5	-93,578094492	0,00610501	0,0805861	-3299,03367478	-0,375564520445
28	-95,927006637	0,00732601	0,0537241	-3287,80692935	-0,376846945889
28,5	-98,146047189	0,00732601	0,042735	-3272,12523109	-0,378652989264
29	-100,494959334	0,00610501	0,0634921	-3250,17962923	-0,381209699568
29,5	-102,648796864	0,00610501	0,0695971	-3225,2552958	-0,384155636179
30	-104,736896921	0,00732601	0,0598291	-3196,74065044	-0,387582270657
30,5	-105,32425857	0,00732601	0,0610501	-3187,95294442	-0,388650655013
31	-105,32425857	0,00610501	0,02442	-3187,95294442	-0,388650655013
31,5	-105,32425857	0,00610501	0,0671551	-3187,95294442	-0,388650655013
32	-105,259055548	0,00610501	0,0512821	-3188,94501607	-0,388529746908
32,5	-105,32425857	0,00732601	0,0598291	-3187,95294442	-0,388650655013
33	-105,259055548	0,00610501	0,043956	-3188,94501607	-0,388529746908
33,5	-105,32425857	0,00610501	0,034188	-3187,95294442	-0,388650655013
34	-105,259055548	0,00610501	0,0573871	-3188,94501607	-0,388529746908
