Vernier Format 2
Bandlücke-Ge.cmbl 26.09.2019 16:39:53 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	75,240546231	0,00854701	0,0744811	3196,40936746	0,387622440547
0,5	74,914531121	0,00610501	0,032967	3191,56602144	0,38821067516
1	74,392372494	0,00610501	0,0671551	3183,59350923	0,389182851519
1,5	74,131560406	0,00610501	0,0720391	3179,51227336	0,389682408331
2	73,609401779	0,00610501	0,0573871	3171,14353959	0,39071079077
2,5	73,34805524	0,00610501	0,0634921	3166,85594553	0,391239772604
3	72,826431064	0,00610501	0,0622711	3158,10138834	0,392324326436
3,5	72,499881503	0,00610501	0,0659341	3152,48754955	0,393022963779
4	72,042925898	0,00488401	0,034188	3144,4599851	0,394026321172
4,5	71,716910788	0,00610501	0,0549451	3138,61043576	0,394760683226
5	71,259955183	0,00610501	0,0683761	3130,24048734	0,395816233613
5,5	70,933940073	0,00854701	0,045177	3124,14721562	0,396588225358
6	70,672593534	0,00610501	0,041514	3119,18955695	0,397218565072
6,5	70,150434907	0,00610501	0,0525031	3109,09012065	0,398508872989
7	69,889622819	0,00732601	0,0805861	3103,94881745	0,399168953121
7,5	69,30226117	0,00610501	0,0525031	3092,13499414	0,400694019617
8	69,106652104	0,00610501	0,03663	3088,12844433	0,401213881591
8,5	68,519290455	0,00610501	0,040293	3075,88173039	0,402811326508
9	68,258478367	0,00610501	0,046398	3070,33998718	0,403538372028
9,5	67,73631974	0,00732601	0,0854701	3059,05407429	0,405027165231
10	67,474973201	0,00488401	0,034188	3053,30987842	0,405789143368
10,5	66,887611552	0,00610501	0,0525031	3040,16848046	0,407543202939
11	66,626799464	0,00610501	0,0659341	3034,23065943	0,408340742373
11,5	66,104640837	0,00610501	0,0573871	3022,15403596	0,409972484942
12	65,843828749	0,00610501	0,0500611	3016,02784473	0,410805225875
12,5	65,58248221	0,00610501	0,0610501	3009,82641277	0,411651647
13	65,060858034	0,00976801	0,0732601	2997,26181485	0,413377301196
13,5	64,799511495	0,00610501	0,0671551	2990,87316309	0,414260295385
14	64,212149846	0,00610501	0,0659341	2976,28814763	0,416290338349
14,5	63,951337758	0,00732601	0,0683761	2969,71144593	0,417212251951
15	63,494382153	0,00610501	0,0500611	2958,04047124	0,418858366559
15,5	63,168367043	0,00610501	0,0500611	2949,59876396	0,420057132902
16	62,907020504	0,00732601	0,0622711	2942,76258428	0,42103294592
16,5	62,384861877	0,00610501	0,0586081	2928,9209798	0,423022679187
17	62,124049789	0,00610501	0,043956	2921,91609198	0,42403681728
17,5	61,53668814	0,00610501	0,0525031	2905,91925557	0,42637110361
18	61,275876052	0,00610501	0,0695971	2898,71801097	0,427430331378
18,5	60,753717425	0,00610501	0,039072	2884,12041583	0,429593713633
19	60,492905337	0,00610501	0,0634921	2876,73930907	0,43069596056
19,5	59,97074671	0,00610501	0,0610501	2861,78299338	0,432946873633
20	59,709400171	0,00610501	0,04884	2854,20785109	0,43409592596
20,5	59,448588083	0,00610501	0,0525031	2846,58899731	0,435257777351
21	58,926429456	0,00732601	0,0549451	2831,15858276	0,437630024522
21,5	58,665617368	0,00610501	0,0573871	2823,36313544	0,438838342984
22	58,143458741	0,00488401	0,028083	2807,58062186	0,4413052257
22,5	57,81690918	0,00610501	0,0537241	2797,59189734	0,442880893807
23	57,295285004	0,00610501	0,0671551	2781,4477133	0,445451479844
23,5	57,033938465	0,00610501	0,037851	2773,27230849	0,446764638368
24	56,773126377	0,00610501	0,0512821	2765,0560985	0,448092174575
24,5	56,185764728	0,00610501	0,037851	2746,34324544	0,451145355577
