Vernier Format 2
Bandlücke2-Si1.cmbl 26.09.2019 13:36:52 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-75,5453614513	0,019536	0,0634921	-1599,46201571	-0,774635463569
0,5	-75,6105644733	0,014652	0,0695971	-1599,93017841	-0,774408794034
1	-75,5453614513	0,017094	0,0720391	-1599,46201571	-0,774635463569
1,5	-75,6105644733	0,020757	0,0671551	-1599,93017841	-0,774408794034
2	-75,5453614513	0,02442	0,0671551	-1599,46201571	-0,774635463569
2,5	-75,6105644733	0,028083	0,0671551	-1599,93017841	-0,774408794034
3	-75,2188118903	0,010989	0,0610501	-1597,08621264	-0,775787800429
3,5	-75,0232028243	0,010989	0,0647131	-1595,63821357	-0,776491807143
4	-74,7623907363	0,01221	0,0634921	-1593,67862084	-0,777446584149
4,5	-74,5010441973	0,020757	0,0659341	-1591,68188848	-0,778421874977
5	-74,1750290873	0,014652	0,0647131	-1589,14466006	-0,77966470337
5,5	-73,7180734823	0,014652	0,0647131	-1585,50180198	-0,78145606549
6	-73,4572613943	0,023199	0,0622711	-1583,37738183	-0,782504546434
6,5	-72,9351027673	0,015873	0,0586081	-1579,02563773	-0,784661103908
7	-72,6085532063	0,025641	0,0586081	-1576,23745115	-0,786049081052
7,5	-72,1521320523	0,021978	0,0573871	-1572,25460511	-0,788040305923
8	-71,8255824913	0,028083	0,0549451	-1569,34380979	-0,789501951242
8,5	-71,3686268863	0,019536	0,0537241	-1565,18504629	-0,791599691639
9	-70,9774087543	0,019536	0,0586081	-1561,54544798	-0,79344472593
9,5	-70,6508591933	0,029304	0,0586081	-1558,45172439	-0,795019813968
10	-70,1944380393	0,034188	0,0598291	-1554,04279687	-0,797275340481
10,5	-69,9982945223	0,028083	0,0659341	-1552,11778144	-0,79826416192
11	-69,6722794123	0,032967	0,0598291	-1548,87793272	-0,799933922375
11,5	-69,2153238073	0,03663	0,0537241	-1544,25245376	-0,802329953875
12	-68,8893086973	0,035409	0,0598291	-1540,89234934	-0,804079532573
12,5	-68,3671500703	0,045177	0,0586081	-1535,40677984	-0,806952278879
13	-68,1058035313	0,032967	0,0573871	-1532,61327337	-0,808423117254
13,5	-67,8449914433	0,0598291	0,0586081	-1529,79368982	-0,809913132891
14	-67,3228328163	0,0549451	0,0647131	-1524,05354546	-0,81296356266
14,5	-67,0620207283	0,0598291	0,0610501	-1521,13897888	-0,814521235209
15	-66,4746590793	0,0610501	0,0598291	-1514,45990437	-0,81811343861
15,5	-66,2790500133	0,0610501	0,0573871	-1512,20020936	-0,819335953224
16	-65,9525004523	0,0525031	0,0598291	-1508,38861797	-0,821406357248
16,5	-65,4955448473	0,0598291	0,0586081	-1502,97266013	-0,824366292793
17	-65,1043267153	0,0671551	0,0549451	-1498,25986813	-0,826959345542
17,5	-64,6473711103	0,0695971	0,0573871	-1492,66674419	-0,830058018525
18	-64,3213560003	0,0757021	0,0634921	-1488,61827513	-0,832315457022
18,5	-63,8644003953	0,0683761	0,0622711	-1482,86269174	-0,835546006317
19	-63,5378508343	0,0757021	0,0586081	-1478,69183094	-0,837902782769
19,5	-63,3422417683	0,0818071	0,0622711	-1476,17039805	-0,839333996694
20	-62,7548801193	0,0891331	0,0634921	-1468,49593121	-0,843720417379
20,5	-62,4940680313	0,0842491	0,0659341	-1465,03863484	-0,845711485374
21	-62,2327214923	0,0952381	0,0622711	-1461,54380354	-0,84773374359
21,5	-61,7110973163	0,0952381	0,0622711	-1454,47759181	-0,851852243706
22	-61,3845477553	0,0976801	0,0598291	-1449,99257512	-0,854487134112
