Vernier Format 2
Bandlücke2-Si_Lampe.cmbl 26.09.2019 13:47:23 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	103,735989559	0,00610501	0,015873	1604,50743797	0,772199598879
0,5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
1	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
1,5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
2	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
2,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
3	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
3,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
4	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
4,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
5,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
6	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
6,5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
7	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
7,5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
8	103,670738436	0,00854701	0,014652	1604,95305844	0,771985195132
8,5	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
9	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
9,5	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
10	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
10,5	103,670738436	0,00488401	0,014652	1604,95305844	0,771985195132
11	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
11,5	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
12	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
12,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
13	103,735989559	0,00488401	0,014652	1604,50743797	0,772199598879
13,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
14	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
14,5	103,670738436	0,00610501	0,014652	1604,95305844	0,771985195132
15	103,735989559	0,00610501	0,014652	1604,50743797	0,772199598879
15,5	103,735989559	0,00732601	0,014652	1604,50743797	0,772199598879
16	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
16,5	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
17	103,670738436	0,00732601	0,014652	1604,95305844	0,771985195132
17,5	103,148686699	0,00610501	0,014652	1608,44331776	0,770310017341
18	101,060479752	0,00732601	0,014652	1621,06630626	0,764311734327
18,5	98,5807340023	0,00610501	0,014652	1633,25848446	0,758606192336
19	96,4925270551	0,00610501	0,014652	1641,15384383	0,754956645082
19,5	94,4043201079	0,00732601	0,014652	1646,86947156	0,752336491385
20	91,9898308252	0,00610501	0,014652	1650,7511445	0,750567403286
20,5	90,0321368122	0,00610501	0,014652	1651,74687923	0,750114933215
21	87,8134169308	0,00732601	0,014652	1650,54446607	0,750661388089
21,5	85,5946970494	0,00610501	0,014652	1646,86729544	0,752337485497
22	83,3107207009	0,00610501	0,014652	1640,50280861	0,755256250398
22,5	81,0919473744	0,00610501	0,014652	1631,82395049	0,759273081894
23	78,6774580917	0,00610501	0,014652	1619,59999625	0,765003706389
23,5	76,5239946774	0,00610501	0,014652	1606,27057415	0,771351987606
24	74,4357877302	0,00732601	0,014652	1591,17814943	0,778668309671
24,5	72,0212984475	0,00854701	0,014652	1571,09450798	0,788622195359
