Vernier Format 2
Bandlücke2-Si-Ground.cmbl 26.09.2019 13:56:21 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	71,999635367	0,00610501	0,04884	1570,90163151	0,788719022979
0,5	74,3488681826	0,00732601	0,043956	1590,50397948	0,778998365287
1	76,5023315969	0,00488401	0,047619	1606,12492411	0,771421936987
1,5	78,6557950112	0,00488401	0,0512821	1619,47726874	0,765061680033
2	81,0050278268	0,00610501	0,045177	1631,43405886	0,759454538339
2,5	83,3542606424	0,00854701	0,040293	1640,64854537	0,755189161928
3	85,5077240567	0,00610501	0,047619	1646,67280957	0,752426342863
3,5	87,4001616026	0,00488401	0,042735	1650,04699197	0,750887705639
4	87,9222133394	0,00732601	0,041514	1650,66115708	0,750608321209
4,5	88,2484956749	0,00610501	0,042735	1650,97542411	0,750465441163
5	88,5095215433	0,00732601	0,041514	1651,1882891	0,750368693977
5,5	88,4442650762	0,00610501	0,045177	1651,13828553	0,750391418369
6	88,4442650762	0,00610501	0,043956	1651,13828553	0,750391418369
6,5	88,4442650762	0,00610501	0,046398	1651,13828553	0,750391418369
7	88,4442650762	0,00732601	0,043956	1651,13828553	0,750391418369
7,5	88,1832392078	0,00854701	0,045177	1650,91685363	0,750492065835
8	87,9222133394	0,00732601	0,042735	1650,66115708	0,750608321209
8,5	87,661187471	0,00488401	0,042735	1650,37120119	0,750740196574
9	87,4001616026	0,00610501	0,046398	1650,04699197	0,750887705639
9,5	86,8781098658	0,00610501	0,047619	1649,2958412	0,751229687876
10	86,6170839974	0,00610501	0,040293	1648,86891523	0,751424196644
10,5	86,0297757935	0,00732601	0,046398	1647,78322174	0,75191929597
11	85,8340063922	0,00610501	0,046398	1647,38284346	0,752102041685
11,5	85,3119546554	0,00610501	0,04884	1646,2211553	0,7526327772
12	85,050928787	0,00610501	0,047619	1645,58905423	0,752921877314
12,5	84,4636205831	0,00610501	0,041514	1644,04197214	0,753630394475
13	84,2025947147	0,00488401	0,047619	1643,29892198	0,753971163386
13,5	83,8763123792	0,00732601	0,04884	1642,32214884	0,754419588675
14	83,4195171095	0,00732601	0,045177	1640,8651975	0,755089450302
14,5	83,1584912411	0,00610501	0,046398	1639,98582079	0,755494336775
15	82,6364395043	0,00610501	0,040293	1638,12497301	0,756352549662
15,5	82,3754136359	0,00732601	0,045177	1637,14354055	0,7568059668
16	81,8533618991	0,00488401	0,04884	1635,07876036	0,757761662639
16,5	81,5270795636	0,00610501	0,046398	1633,71932939	0,758392202202
17	81,0050278268	0,00610501	0,045177	1631,43405886	0,759454538339
17,5	80,7440019584	0,00488401	0,041514	1630,24062113	0,760010506389
18	80,2219502216	0,00610501	0,046398	1627,7522646	0,761172339887
18,5	79,9609243532	0,00610501	0,043956	1626,45739744	0,761778329977
19	79,4388726164	0,00610501	0,04884	1623,76641972	0,763040782809
19,5	79,177846748	0,00732601	0,046398	1622,370365	0,763697381761
20	78,5905385441	0,00732601	0,042735	1619,1061733	0,765237030425
20,5	78,3947691428	0,00610501	0,042735	1617,98028724	0,765769527459
21	77,872717406	0,00732601	0,047619	1614,88561285	0,767237004368
21,5	77,6116915376	0,00610501	0,046398	1613,28798419	0,767996794214
22	77,0243833337	0,00610501	0,045177	1609,57094669	0,769770355603
22,5	76,7633574653	0,00610501	0,043956	1607,86462095	0,770587264534
23	76,2413057285	0,00610501	0,041514	1604,35189227	0,77227446545
23,5	75,9802798601	0,00732601	0,04884	1602,54556224	0,773144944639
24	75,4582281233	0,00610501	0,043956	1598,83315824	0,774940145328
