Vernier Format 2
Bandlücke2-Si2.cmbl 26.09.2019 13:43:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-83,2892001407	0,592186	0,015873	-1640,43042521	-0,755289575809
0,5	-83,3544031627	0,589744	0,017094	-1640,64902086	-0,755188943062
1	-83,2892001407	0,592186	0,015873	-1640,43042521	-0,755289575809
1,5	-83,3544031627	0,587302	0,019536	-1640,64902086	-0,755188943062
2	-83,2892001407	0,587302	0,020757	-1640,43042521	-0,755289575809
2,5	-83,3544031627	0,582418	0,021978	-1640,64902086	-0,755188943062
3	-83,0283880527	0,56044	0,023199	-1639,5348009	-0,755702165835
3,5	-82,8322445357	0,551893	0,017094	-1638,83886466	-0,756023076289
4	-82,4410264037	0,518926	0,014652	-1637,39343621	-0,756690464613
4,5	-81,9840707987	0,494505	0,014652	-1635,60847601	-0,757516250478
5	-81,6580556887	0,457875	0,017094	-1634,2713993	-0,75813601127
5,5	-81,4619121717	0,450549	0,019536	-1633,44146532	-0,758521211997
6	-80,8093475007	0,418803	0,018315	-1630,54256377	-0,759869768219
6,5	-80,6137384347	0,391941	0,020757	-1629,63238502	-0,760294169036
7	-80,0915798077	0,3663	0,020757	-1627,10975933	-0,761472907954
7,5	-79,8307677197	0,351648	0,018315	-1625,79911683	-0,76208677147
8	-79,5694211807	0,334554	0,01221	-1624,45199689	-0,762718752152
8,5	-79,0477970047	0,319902	0,01221	-1621,66224575	-0,764030859848
9	-78,7212474437	0,308913	0,017094	-1619,84736835	-0,764886880214
9,5	-78,2642918387	0,299145	0,018315	-1617,21941055	-0,766129810165
10	-78,0034797507	0,296703	0,018315	-1615,67335491	-0,766862928222
10,5	-77,4813211237	0,306471	0,018315	-1612,47750197	-0,768382813707
11	-77,1553060137	0,302808	0,019536	-1610,41421033	-0,769367279582
11,5	-76,8939594747	0,30525	0,021978	-1608,72253972	-0,770176316555
12	-76,6331473867	0,310134	0,015873	-1607,00096014	-0,771001406178
12,5	-76,1761917817	0,315018	0,015873	-1603,90441173	-0,772489925796
13	-75,5236271107	0,330891	0,017094	-1599,30550114	-0,774711272562
13,5	-75,3280180447	0,345543	0,014652	-1597,88651669	-0,775399245852
14	-75,0014684837	0,347985	0,018315	-1595,47617645	-0,776570667924
14,5	-74,5450473297	0,369963	0,015873	-1592,02039962	-0,778256359214
15	-74,2184977687	0,374847	0,015873	-1589,48593171	-0,779497304935
15,5	-73,7615421637	0,388278	0,015873	-1585,85267913	-0,781283164764
16	-73,3703240317	0,387057	0,017094	-1582,66194868	-0,782858273072
16,5	-72,9133684267	0,417582	0,017094	-1578,84165515	-0,784752540547
17	-72,6525563387	0,42735	0,017094	-1576,61615108	-0,785860273697
17,5	-72,3912097997	0,449328	0,017094	-1574,35331713	-0,786989798619
18	-71,8695856237	0,468864	0,017094	-1569,73901849	-0,789303180595
18,5	-71,6082390847	0,490842	0,01221	-1567,37819425	-0,790492048789
19	-71,3474269967	0,5116	0,015873	-1564,98968701	-0,791698507844
19,5	-70,8252683697	0,526252	0,019536	-1560,11037805	-0,79417457728
20	-70,4987188087	0,559219	0,018315	-1556,9930566	-0,795764627687
20,5	-70,1075006767	0,561661	0,018315	-1553,19181155	-0,797712163292
21	-69,7157480937	0,589744	0,015873	-1549,31281224	-0,799709387419
21,5	-69,4549360057	0,590965	0,015873	-1546,6901675	-0,801065414412
22	-68,9327773787	0,627595	0,015873	-1541,3432481	-0,803844310166
22,5	-68,6719652907	0,643468	0,01221	-1538,62455705	-0,80526467248
23	-68,2150096857	0,671551	0,015873	-1533,78444852	-0,807805817302
