x in Angstrom	y in Volt
6300,00000	5,61094
6300,20000	5,21652
6300,40000	5,39066
6300,60000	5,76381
6300,80000	5,86214
6301,00000	5,82824
6301,20000	5,95644
6301,40000	5,94852
6301,60000	6,43366
6301,80000	6,44525
6302,00000	6,67103
6302,20000	6,93725
6302,40000	7,38108
6302,60000	7,38146
6302,80000	8,25170
6303,00000	9,33127
6303,20000	10,84380
6303,40000	13,99709
6303,60000	29,55808
6303,80000	39,06760
6304,00000	40,15472
6304,20000	40,07681
6304,40000	40,02347
6304,60000	40,08257
6304,80000	40,04811
6305,00000	39,82213
6305,20000	39,78165
6305,40000	39,48365
6305,60000	39,35440
6305,80000	39,36961
6306,00000	39,45006
6306,20000	39,53093
6306,40000	39,58775
6306,60000	39,78854
6306,80000	39,70885
6307,00000	39,64977
6307,20000	39,65221
6307,40000	39,41359
6307,60000	39,21759
6307,80000	38,87084
6308,00000	38,57497
6308,20000	38,22964
6308,40000	37,39981
6308,60000	36,62740
6308,80000	36,72178
6309,00000	36,67074
6309,20000	36,75970
6309,40000	36,69616
6309,60000	26,32004
6309,80000	13,95201
6310,00000	10,21007
6310,20000	8,24452
6310,40000	7,68930
6310,60000	7,24438
6310,80000	6,81033
6311,00000	6,51427
6311,20000	6,25686
6311,40000	5,97370
6311,60000	6,02940
6311,80000	5,59605
6312,00000	5,31851
6312,20000	5,03559
6312,40000	5,11169
6312,60000	5,56766
6312,80000	5,20703
6313,00000	5,23092
6313,20000	5,17093
6313,40000	4,99463
6313,60000	4,71833
6313,80000	4,99444
