x in Angstrom	y in Volt
6400,00000	80,89701
6400,20000	81,31827
6400,40000	80,49674
6400,60000	78,90666
6400,80000	74,91121
6401,00000	78,80790
6401,20000	76,25679
6401,40000	72,99103
6401,60000	73,66588
6401,80000	79,69439
6402,00000	79,76419
6402,20000	76,39138
6402,40000	71,97821
6402,60000	68,54163
6402,80000	70,49226
6403,00000	71,63614
6403,20000	73,90276
6403,40000	71,35955
6403,60000	73,09215
6403,80000	73,16670
6404,00000	75,53115
6404,20000	75,25895
6404,40000	72,39903
6404,60000	66,80142
6404,80000	65,62047
6405,00000	64,83993
6405,20000	65,35996
6405,40000	67,45435
6405,60000	68,35692
6405,80000	65,55656
6406,00000	64,88854
6406,20000	65,41618
6406,40000	62,88275
6406,60000	61,38408
6406,80000	54,79621
6407,00000	53,77037
6407,20000	54,46729
6407,40000	57,38613
6407,60000	57,32222
6407,80000	55,31490
6408,00000	52,27349
6408,20000	55,03850
6408,40000	53,43311
6408,60000	48,98085
6408,80000	47,90485
6409,00000	47,81270
6409,20000	49,37692
6409,40000	49,00285
6409,60000	49,68503
6409,80000	50,47759
6410,00000	50,83776
6410,20000	50,61118
6410,40000	46,18302
6410,60000	47,02664
6410,80000	48,52968
6411,00000	51,22749
6411,20000	52,60938
6411,40000	49,81659
6411,60000	47,20027
6411,80000	48,37893
6412,00000	51,21506
6412,20000	51,22725
6412,40000	47,79797
6412,60000	47,93631
6412,80000	47,41416
6413,00000	46,78114
6413,20000	45,67420
6413,40000	46,24613
6413,60000	48,65121
6413,80000	49,82428
6414,00000	47,36394
6414,20000	47,32265
6414,40000	45,97861
6414,60000	48,03655
6414,80000	46,82804
6415,00000	46,33820
6415,20000	47,74244
6415,40000	47,84415
6415,60000	48,02031
6415,80000	46,22993
6416,00000	45,26191
6416,20000	48,17696
6416,40000	49,09838
6416,60000	49,90609
6416,80000	53,62261
6417,00000	55,84000
6417,20000	57,69618
6417,40000	63,01837
6417,60000	66,49828
6417,80000	67,54971
6418,00000	66,50810
6418,20000	65,52223
6418,40000	65,14342
6418,60000	67,85508
6418,80000	69,23815
6419,00000	67,60163
6419,20000	68,27460
6419,40000	66,56611
6419,60000	64,78438
6419,80000	63,50321
6420,00000	64,87409
6420,20000	64,97150
6420,40000	66,49478
6420,60000	68,65865
6420,80000	67,23301
6421,00000	66,95221
6421,20000	65,96422
6421,40000	64,23941
6421,60000	65,86364
6421,80000	67,25611
6422,00000	68,74311
6422,20000	68,06534
6422,40000	71,59717
6422,60000	69,57650
6422,80000	69,24552
6423,00000	63,55909
6423,20000	61,40874
6423,40000	57,58483
6423,60000	57,43725
6423,80000	56,14436
6424,00000	55,94805
6424,20000	52,01726
6424,40000	49,23978
6424,60000	48,81616
6424,80000	46,88635
6425,00000	44,66479
6425,20000	43,69758
6425,40000	42,69645
6425,60000	42,48777
6425,80000	40,58427
6426,00000	41,17435
6426,20000	44,08165
6426,40000	42,28584
6426,60000	38,21474
6426,80000	37,36882
6427,00000	37,24368
