x in Angstrom	y in Volt
4000,00000	0,03902
4000,20000	0,04774
4000,40000	-0,05752
4000,60000	-0,01939
4000,80000	0,06359
4001,00000	-0,01569
4001,20000	-0,01165
4001,40000	0,08062
4001,60000	0,12297
4001,80000	0,12701
4002,00000	0,11458
4002,20000	0,18003
4002,40000	0,19703
4002,60000	0,23613
4002,80000	0,35048
4003,00000	0,51017
4003,20000	16,32082
4003,40000	39,15429
4003,60000	37,01502
4003,80000	34,77232
4004,00000	33,43690
4004,20000	32,83369
4004,40000	33,35510
4004,60000	34,52491
4004,80000	35,63246
4005,00000	36,60740
4005,20000	37,68054
4005,40000	38,00931
4005,60000	37,28713
4005,80000	36,34363
4006,00000	34,63072
4006,20000	31,70323
4006,40000	27,59749
4006,60000	4,93077
4006,80000	4,04120
4007,00000	3,69211
4007,20000	3,38564
4007,40000	3,34333
4007,60000	3,29088
4007,80000	3,42152
4008,00000	3,52397
4008,20000	3,51469
4008,40000	3,61923
4008,60000	3,64936
4008,80000	3,47663
4009,00000	3,32717
4009,20000	3,09135
4009,40000	2,83180
4009,60000	1,46944
4009,80000	0,13411
4010,00000	0,07558
4010,20000	0,06335
4010,40000	0,04307
4010,60000	-0,00109
4010,80000	0,04786
4011,00000	-0,01422
4011,20000	-0,03398
4011,40000	0,01692
4011,60000	-0,00342
4011,80000	-0,04175
4012,00000	-0,00922
4012,20000	0,00834
4012,40000	-0,08790
4012,60000	-0,05966
4012,80000	-0,16718
4013,00000	-0,11423
4013,20000	-0,15643
4013,40000	-0,18751
4013,60000	-0,17097
4013,80000	-0,18444
4014,00000	-0,16366
4014,20000	-0,21159
4014,40000	-0,19043
4014,60000	-0,18601
4014,80000	-0,13120
4015,00000	-0,16605
4015,20000	-0,19998
4015,40000	-0,16185
4015,60000	-0,20359
4015,80000	-0,23499
4016,00000	-0,18851
4016,20000	-0,18774
4016,40000	-0,20704
4016,60000	-0,19642
4016,80000	-0,23211
4017,00000	-0,20163
4017,20000	-0,22755
4017,40000	-0,20618
4017,60000	-0,24869
4017,80000	-0,20904
4018,00000	-0,18591
4018,20000	-0,19789
4018,40000	-0,23354
4018,60000	-0,19021
4018,80000	-0,20912
4019,00000	-0,21263
4019,20000	-0,20031
