x in Angstrom	y in Volt
394,80	1346,28
394,99	1346,28
395,18	1346,28
395,37	1313,59
395,56	1328,80
395,75	1325,45
395,94	1341,20
396,13	1342,22
396,32	1370,15
396,51	1374,13
396,70	1387,55
396,89	1422,81
397,08	1421,25
397,27	1454,80
397,46	1449,73
397,65	1475,71
397,84	1469,62
398,03	1509,96
398,23	1514,33
398,42	1548,34
398,61	1550,21
398,80	1561,14
398,99	1596,79
399,18	3038,02
399,37	6846,22
399,56	7145,34
399,75	7264,40
399,94	7427,77
400,13	7329,23
400,31	7451,56
400,50	7450,08
400,69	7621,72
400,88	7625,93
401,07	7656,05
401,26	7631,86
401,45	7850,00
401,64	7822,07
401,83	7952,67
402,02	7946,90
402,21	8013,92
402,40	8015,32
402,59	8109,72
402,78	8186,65
402,97	8164,26
403,16	8291,04
403,35	8328,80
403,54	8464,63
403,73	8468,29
403,92	8561,76
404,11	8472,43
404,30	8612,00
404,49	8612,86
404,68	8728,33
404,86	8787,39
405,05	8804,39
405,24	8953,49
405,43	8966,36
405,62	8960,43
405,81	9005,91
406,00	9189,18
406,19	9144,32
406,38	9248,31
406,57	9419,33
406,76	9383,75
406,94	9310,96
407,13	9473,24
407,32	9592,14
407,51	9624,44
407,70	9700,90
407,89	9755,74
408,08	9819,72
408,27	9981,60
408,46	9972,94
408,64	9953,28
408,83	10099,41
409,02	10113,14
409,21	10281,58
409,40	10280,02
409,59	10396,35
409,78	10458,84
409,97	10430,83
410,15	10575,40
410,34	10519,15
410,53	10711,62
410,72	10817,49
410,91	10835,04
411,10	11012,30
411,28	11066,21
411,47	11134,94
411,66	11123,40
411,85	11131,51
412,04	11431,57
412,23	11402,47
412,41	11639,25
412,60	11596,50
412,79	11600,79
412,98	11470,97
413,17	11824,54
413,36	11788,26
413,54	11867,69
413,73	11948,90
413,92	12119,92
414,11	12238,74
414,30	12297,95
414,48	12471,78
414,67	12277,75
414,86	12569,69
415,05	12382,99
415,24	12612,44
415,42	12423,80
415,61	12659,88
415,80	12880,05
415,99	12633,28
416,17	12878,10
416,36	12899,47
416,55	13088,43
416,74	12968,83
416,93	13081,96
417,11	13376,24
417,30	13070,64
417,49	13218,64
417,68	13540,70
417,86	13220,59
