x in Angstrom	y in Volt
6400,00000	5,91096
6400,20000	5,98752
6400,40000	5,74310
6400,60000	5,63803
6400,80000	5,88777
6401,00000	5,91361
6401,20000	6,04286
6401,40000	5,29153
6401,60000	5,78459
6401,80000	5,05779
6402,00000	5,46813
6402,20000	5,76078
6402,40000	4,84353
6402,60000	4,21889
6402,80000	4,71506
6403,00000	3,98174
6403,20000	4,99721
6403,40000	5,26457
6403,60000	4,97385
6403,80000	4,81606
6404,00000	5,16602
6404,20000	4,64193
6404,40000	4,80840
6404,60000	4,29601
6404,80000	4,54816
6405,00000	4,85476
6405,20000	3,82751
6405,40000	4,19868
6405,60000	4,55009
6405,80000	4,30284
6406,00000	4,61883
6406,20000	4,45113
6406,40000	4,28183
6406,60000	4,33463
6406,80000	4,14643
6407,00000	3,75744
6407,20000	3,83699
6407,40000	4,13358
6407,60000	3,18044
6407,80000	4,10088
6408,00000	3,74346
6408,20000	3,67255
6408,40000	3,56805
6408,60000	3,57145
6408,80000	3,81427
6409,00000	3,71123
6409,20000	3,28584
6409,40000	3,30970
6409,60000	3,64591
6409,80000	3,53248
6410,00000	3,51009
6410,20000	3,37766
6410,40000	3,33979
6410,60000	3,58974
6410,80000	3,21386
6411,00000	3,34536
6411,20000	3,36572
6411,40000	3,51155
6411,60000	3,12251
6411,80000	3,00763
6412,00000	3,22276
6412,20000	3,31569
6412,40000	2,69859
6412,60000	2,78321
6412,80000	3,09433
6413,00000	3,43460
6413,20000	3,52695
6413,40000	3,15649
6413,60000	3,09136
6413,80000	3,56356
6414,00000	3,64280
6414,20000	3,18649
6414,40000	3,70235
6414,60000	3,29254
6414,80000	2,84503
6415,00000	2,82057
6415,20000	2,86034
6415,40000	3,13400
6415,60000	3,44519
6415,80000	3,47140
6416,00000	3,56373
6416,20000	3,13967
6416,40000	3,37003
6416,60000	3,78555
6416,80000	2,82226
6417,00000	3,92104
6417,20000	3,62970
6417,40000	4,35872
6417,60000	4,18752
6417,80000	3,97633
6418,00000	4,43804
6418,20000	4,25598
6418,40000	4,21053
6418,60000	4,47864
6418,80000	4,08658
6419,00000	3,70921
6419,20000	4,19513
6419,40000	3,73051
6419,60000	4,30496
6419,80000	4,64255
6420,00000	4,56068
6420,20000	4,12275
6420,40000	4,19971
6420,60000	4,20845
6420,80000	4,03818
6421,00000	4,03328
6421,20000	4,07041
6421,40000	4,03006
6421,60000	4,17892
6421,80000	4,18477
6422,00000	3,95127
6422,20000	3,83995
6422,40000	3,86364
6422,60000	3,88546
6422,80000	3,81937
