[s],CH2[V]
-2.8475E-03,-5.222E-02
-2.8450E-03,-9.222E-02
-2.8425E-03,-9.222E-02
-2.8400E-03,-9.222E-02
-2.8375E-03,-9.222E-02
-2.8350E-03,-5.222E-02
-2.8325E-03,-9.222E-02
-2.8300E-03,-5.222E-02
-2.8275E-03,-9.222E-02
-2.8250E-03,-9.222E-02
-2.8225E-03,-9.222E-02
-2.8200E-03,-9.222E-02
-2.8175E-03,-9.222E-02
-2.8150E-03,-5.222E-02
-2.8125E-03,-9.222E-02
-2.8100E-03,-9.222E-02
-2.8075E-03,-9.222E-02
-2.8050E-03,-9.222E-02
-2.8025E-03,-9.222E-02
-2.8000E-03,-5.222E-02
-2.7975E-03,-5.222E-02
-2.7950E-03,-9.222E-02
-2.7925E-03,-9.222E-02
-2.7900E-03,-9.222E-02
-2.7875E-03,-5.222E-02
-2.7850E-03,-9.222E-02
-2.7825E-03,-9.222E-02
-2.7800E-03,-9.222E-02
-2.7775E-03,-9.222E-02
-2.7750E-03,-5.222E-02
-2.7725E-03,-9.222E-02
-2.7700E-03,-9.222E-02
-2.7675E-03,-5.222E-02
-2.7650E-03,-9.222E-02
-2.7625E-03,-9.222E-02
-2.7600E-03,-9.222E-02
-2.7575E-03,-5.222E-02
-2.7550E-03,-9.222E-02
-2.7525E-03,-9.222E-02
-2.7500E-03,-9.222E-02
-2.7475E-03,-5.222E-02
-2.7450E-03,-9.222E-02
-2.7425E-03,-9.222E-02
-2.7400E-03,-9.222E-02
-2.7375E-03,-9.222E-02
-2.7350E-03,-5.222E-02
-2.7325E-03,-9.222E-02
-2.7300E-03,-5.222E-02
-2.7275E-03,-5.222E-02
-2.7250E-03,-9.222E-02
-2.7225E-03,-9.222E-02
-2.7200E-03,-9.222E-02
-2.7175E-03,-9.222E-02
-2.7150E-03,-9.222E-02
-2.7125E-03,-9.222E-02
-2.7100E-03,-5.222E-02
-2.7075E-03,-9.222E-02
-2.7050E-03,-9.222E-02
-2.7025E-03,-9.222E-02
-2.7000E-03,-9.222E-02
-2.6975E-03,-9.222E-02
-2.6950E-03,-9.222E-02
-2.6925E-03,-5.222E-02
-2.6900E-03,-9.222E-02
-2.6875E-03,-9.222E-02
-2.6850E-03,-9.222E-02
-2.6825E-03,-9.222E-02
-2.6800E-03,-9.222E-02
-2.6775E-03,-9.222E-02
-2.6750E-03,-9.222E-02
-2.6725E-03,-9.222E-02
-2.6700E-03,-9.222E-02
-2.6675E-03,-5.222E-02
-2.6650E-03,-9.222E-02
-2.6625E-03,-9.222E-02
-2.6600E-03,-9.222E-02
-2.6575E-03,-9.222E-02
-2.6550E-03,-9.222E-02
-2.6525E-03,-5.222E-02
-2.6500E-03,-5.222E-02
-2.6475E-03,-5.222E-02
-2.6450E-03,-9.222E-02
-2.6425E-03,-9.222E-02
-2.6400E-03,-9.222E-02
-2.6375E-03,-5.222E-02
-2.6350E-03,-5.222E-02
-2.6325E-03,-1.322E-01
-2.6300E-03,-9.222E-02
-2.6275E-03,1.588E+00
-2.6250E-03,1.078E-01
-2.6225E-03,-9.222E-02
-2.6200E-03,-5.222E-02
-2.6175E-03,-9.222E-02
-2.6150E-03,7.878E-01
-2.6125E-03,-1.222E-02
-2.6100E-03,-9.222E-02
-2.6075E-03,-5.222E-02
-2.6050E-03,-9.222E-02
-2.6025E-03,-9.222E-02
-2.6000E-03,-5.222E-02
-2.5975E-03,-5.222E-02
-2.5950E-03,-5.222E-02
-2.5925E-03,-5.222E-02
-2.5900E-03,-9.222E-02
-2.5875E-03,-9.222E-02
-2.5850E-03,-9.222E-02
-2.5825E-03,-5.222E-02
-2.5800E-03,-9.222E-02
-2.5775E-03,-9.222E-02
-2.5750E-03,-9.222E-02
-2.5725E-03,-9.222E-02
-2.5700E-03,-9.222E-02
-2.5675E-03,-9.222E-02
-2.5650E-03,-9.222E-02
-2.5625E-03,-5.222E-02
-2.5600E-03,-9.222E-02
-2.5575E-03,-1.322E-01
-2.5550E-03,-9.222E-02
-2.5525E-03,-9.222E-02
-2.5500E-03,-5.222E-02
-2.5475E-03,-5.222E-02
-2.5450E-03,-9.222E-02
-2.5425E-03,-9.222E-02
-2.5400E-03,-9.222E-02
-2.5375E-03,-9.222E-02
-2.5350E-03,-9.222E-02
-2.5325E-03,-9.222E-02
-2.5300E-03,-9.222E-02
-2.5275E-03,-5.222E-02
-2.5250E-03,-9.222E-02
-2.5225E-03,-1.322E-01
-2.5200E-03,-9.222E-02
