Time,CH B,
0.E+0,-5.37256E-1,
5.0025E-2,-4.65256E-1,
1.0005E-1,-5.45256E-1,
1.50075E-1,-4.73256E-1,
2.001E-1,-5.45256E-1,
2.50125E-1,-4.81256E-1,
3.0015E-1,-5.45256E-1,
3.50175E-1,-4.81256E-1,
4.002E-1,-5.53256E-1,
4.50225E-1,-4.81256E-1,
5.0025E-1,-5.53256E-1,
5.50275E-1,-4.89256E-1,
6.003E-1,-5.37256E-1,
6.50325E-1,-4.89256E-1,
7.0035E-1,-5.53256E-1,
7.50375E-1,-4.89256E-1,
8.004E-1,-5.53256E-1,
8.50425E-1,-4.89256E-1,
9.0045E-1,-5.53256E-1,
9.50475E-1,-4.89256E-1,
1.0005E+0,-5.53256E-1,
1.05053E+0,-4.89256E-1,
1.10055E+0,-5.53256E-1,
1.15058E+0,-4.89256E-1,
1.2006E+0,-5.53256E-1,
1.25063E+0,-4.25256E-1,
1.30065E+0,-5.61256E-1,
1.35068E+0,-4.89256E-1,
1.4007E+0,-5.53256E-1,
1.45073E+0,-4.89256E-1,
1.50075E+0,-5.53256E-1,
1.55078E+0,-4.89256E-1,
1.6008E+0,-5.53256E-1,
1.65083E+0,-4.97256E-1,
1.70085E+0,-5.61256E-1,
1.75088E+0,-4.89256E-1,
1.8009E+0,-5.61256E-1,
1.85093E+0,-4.89256E-1,
1.90095E+0,-5.61256E-1,
1.95098E+0,-4.97256E-1,
2.001E+0,-5.69256E-1,
2.05103E+0,-4.97256E-1,
2.10105E+0,-5.61256E-1,
2.15108E+0,-4.97256E-1,
2.2011E+0,-5.61256E-1,
2.25113E+0,-4.97256E-1,
2.30115E+0,-5.61256E-1,
2.35118E+0,-4.97256E-1,
2.4012E+0,-5.69256E-1,
2.45123E+0,-4.97256E-1,
2.50125E+0,-5.77256E-1,
2.55128E+0,-5.05256E-1,
2.6013E+0,-5.77256E-1,
2.65133E+0,-4.97256E-1,
2.70135E+0,-5.61256E-1,
2.75138E+0,-4.97256E-1,
2.8014E+0,-5.61256E-1,
2.85143E+0,-4.97256E-1,
2.90145E+0,-5.61256E-1,
2.95148E+0,-4.97256E-1,
3.0015E+0,-5.61256E-1,
3.05153E+0,-4.97256E-1,
3.10155E+0,-5.61256E-1,
3.15158E+0,-4.97256E-1,
3.2016E+0,-5.61256E-1,
3.25163E+0,-4.97256E-1,
3.30165E+0,-5.69256E-1,
3.35168E+0,-4.89256E-1,
3.4017E+0,-5.61256E-1,
3.45173E+0,-5.05256E-1,
3.50175E+0,-5.69256E-1,
3.55178E+0,-5.05256E-1,
3.6018E+0,-5.61256E-1,
3.65183E+0,-5.05256E-1,
3.70185E+0,-5.69256E-1,
3.75188E+0,-5.05256E-1,
3.8019E+0,-5.77256E-1,
3.85193E+0,-5.05256E-1,
3.90195E+0,-5.77256E-1,
3.95198E+0,-5.13256E-1,
4.002E+0,-5.77256E-1,
4.05203E+0,-5.13256E-1,
4.10205E+0,-5.77256E-1,
4.15208E+0,-5.13256E-1,
4.2021E+0,-5.77256E-1,
4.25213E+0,-5.13256E-1,
4.30215E+0,-5.85256E-1,
4.35218E+0,-5.13256E-1,
4.4022E+0,-5.85256E-1,
4.45223E+0,-5.13256E-1,
4.50225E+0,-5.85256E-1,
4.55228E+0,-5.13256E-1,
4.6023E+0,-5.85256E-1,
4.65233E+0,-5.13256E-1,
4.70235E+0,-5.85256E-1,
4.75238E+0,-5.13256E-1,
4.8024E+0,-5.69256E-1,
4.85243E+0,-5.13256E-1,
4.90245E+0,-5.85256E-1,
4.95248E+0,-5.21256E-1,
5.0025E+0,-5.85256E-1,
5.05253E+0,-5.21256E-1,
5.10255E+0,-5.85256E-1,
5.15258E+0,-5.21256E-1,
5.2026E+0,-5.85256E-1,
5.25263E+0,-5.21256E-1,
5.30265E+0,-5.93256E-1,
5.35268E+0,-4.65256E-1,
5.4027E+0,-5.93256E-1,
5.45273E+0,-5.21256E-1,
5.50275E+0,-5.85256E-1,
5.55278E+0,-5.21256E-1,
5.6028E+0,-5.85256E-1,
5.65283E+0,-5.21256E-1,
5.70285E+0,-5.85256E-1,
5.75288E+0,-5.21256E-1,
5.8029E+0,-5.77256E-1,
5.85293E+0,-5.21256E-1,
5.90295E+0,-5.85256E-1,
5.95298E+0,-5.21256E-1,
6.003E+0,-5.85256E-1,
6.05303E+0,-5.13256E-1,
6.10305E+0,-5.85256E-1,
6.15308E+0,-5.21256E-1,
6.2031E+0,-5.85256E-1,
6.25313E+0,-5.21256E-1,
6.30315E+0,-6.01256E-1,
6.35318E+0,-5.21256E-1,
6.4032E+0,-5.93256E-1,
6.45323E+0,-5.21256E-1,
6.50325E+0,-5.85256E-1,
6.55328E+0,-5.29256E-1,
6.6033E+0,-5.93256E-1,
6.65333E+0,-5.29256E-1,
6.70335E+0,-5.93256E-1,
6.75338E+0,-5.29256E-1,
6.8034E+0,-5.93256E-1,
6.85343E+0,-5.29256E-1,
6.90345E+0,-6.01256E-1,
6.95348E+0,-5.29256E-1,
7.0035E+0,-5.93256E-1,
7.05353E+0,-5.21256E-1,
7.10355E+0,-5.93256E-1,
7.15358E+0,-5.29256E-1,
7.2036E+0,-5.93256E-1,
7.25363E+0,-5.29256E-1,
7.30365E+0,-6.01256E-1,
7.35368E+0,-5.29256E-1,
7.4037E+0,-5.93256E-1,
7.45373E+0,-5.29256E-1,
7.50375E+0,-6.33256E-1,
7.55378E+0,-4.97256E-1,
7.6038E+0,-6.01256E-1,
7.65383E+0,-5.29256E-1,
7.70385E+0,-6.01256E-1,
7.75388E+0,-5.29256E-1,
7.8039E+0,-6.01256E-1,
7.85393E+0,-5.37256E-1,
7.90395E+0,-6.01256E-1,
7.95398E+0,-5.29256E-1,
8.004E+0,-6.09256E-1,
8.05403E+0,-4.89256E-1,
8.10405E+0,-6.01256E-1,
8.15408E+0,-5.37256E-1,
8.2041E+0,-6.01256E-1,
8.25413E+0,-5.37256E-1,
8.30415E+0,-6.17256E-1,
8.35418E+0,-5.37256E-1,
8.4042E+0,-6.01256E-1,
8.45423E+0,-5.37256E-1,
8.50425E+0,-6.01256E-1,
8.55428E+0,-5.37256E-1,
8.6043E+0,-6.01256E-1,
8.65433E+0,-5.37256E-1,
8.70435E+0,-6.01256E-1,
8.75438E+0,-5.37256E-1,
8.8044E+0,-6.17256E-1,
8.85443E+0,-5.37256E-1,
8.90445E+0,-5.93256E-1,
8.95448E+0,-5.37256E-1,
9.0045E+0,-6.17256E-1,
9.05453E+0,-5.37256E-1,
9.10455E+0,-6.17256E-1,
9.15458E+0,-5.37256E-1,
9.2046E+0,-6.01256E-1,
9.25463E+0,-5.37256E-1,
9.30465E+0,-6.01256E-1,
9.35468E+0,-5.37256E-1,
9.4047E+0,-6.01256E-1,
9.45473E+0,-5.29256E-1,
9.50475E+0,-6.01256E-1,
9.55478E+0,-5.29256E-1,
9.6048E+0,-6.01256E-1,
9.65483E+0,-5.29256E-1,
9.70485E+0,-6.01256E-1,
9.75488E+0,-5.37256E-1,
9.8049E+0,-6.01256E-1,
9.85493E+0,-5.29256E-1,
9.90495E+0,-6.01256E-1,
9.95498E+0,-5.29256E-1,
1.0005E+1,-6.01256E-1,
1.0055E+1,-5.37256E-1,
1.01051E+1,-6.01256E-1,
1.01551E+1,-5.29256E-1,
1.02051E+1,-6.01256E-1,
1.02551E+1,-5.29256E-1,
1.03052E+1,-6.01256E-1,
1.03552E+1,-5.29256E-1,
1.04052E+1,-6.01256E-1,
1.04552E+1,-5.37256E-1,
1.05053E+1,-6.01256E-1,
1.05553E+1,-5.29256E-1,
1.06053E+1,-6.01256E-1,
1.06553E+1,-5.29256E-1,
1.07054E+1,-6.01256E-1,
1.07554E+1,-5.37256E-1,
1.08054E+1,-6.09256E-1,
1.08554E+1,-5.29256E-1,
1.09055E+1,-5.93256E-1,
1.09555E+1,-5.29256E-1,
1.10055E+1,-5.93256E-1,
1.10555E+1,-5.29256E-1,
1.11056E+1,-5.93256E-1,
1.11556E+1,-5.29256E-1,
1.12056E+1,-5.93256E-1,
1.12556E+1,-5.13256E-1,
1.13057E+1,-5.85256E-1,
1.13557E+1,-5.29256E-1,
1.14057E+1,-5.93256E-1,
1.14557E+1,-5.21256E-1,
